Source_Name,Region,Asset_Type,trade_dt,Trade_Count
Source_8,Region_3,Asset_Type_3,2022-09-24,65
Source_10,Region_5,Asset_Type_3,2021-11-08,60
Source_6,Region_4,Asset_Type_3,2023-01-30,74
Source_9,Region_4,Asset_Type_3,2023-04-26,16
Source_10,Region_3,Asset_Type_2,2021-10-20,92
Source_5,Region_1,Asset_Type_2,2022-04-09,45
Source_2,Region_5,Asset_Type_2,2022-11-29,94
Source_4,Region_3,Asset_Type_3,2022-09-25,44
Source_6,Region_1,Asset_Type_3,2023-05-20,6
Source_1,Region_1,Asset_Type_3,2023-05-26,42
Source_7,Region_4,Asset_Type_1,2022-09-24,32
Source_5,Region_4,Asset_Type_3,2022-11-18,92
Source_6,Region_2,Asset_Type_2,2023-04-18,19
Source_1,Region_1,Asset_Type_2,2022-12-31,43
Source_4,Region_2,Asset_Type_3,2022-06-24,33
Source_7,Region_4,Asset_Type_2,2023-05-14,23
Source_6,Region_4,Asset_Type_2,2022-08-09,55
Source_10,Region_1,Asset_Type_3,2023-03-23,83
Source_10,Region_5,Asset_Type_3,2023-05-23,38
Source_2,Region_3,Asset_Type_3,2022-02-11,3
Source_4,Region_5,Asset_Type_2,2022-11-02,75
Source_2,Region_1,Asset_Type_2,2022-02-11,31
Source_10,Region_3,Asset_Type_2,2023-06-11,73
Source_2,Region_2,Asset_Type_2,2022-01-21,7
Source_3,Region_4,Asset_Type_3,2021-10-30,93
Source_6,Region_5,Asset_Type_2,2023-03-14,6
Source_2,Region_4,Asset_Type_2,2023-03-09,68
Source_3,Region_3,Asset_Type_2,2021-12-20,24
Source_7,Region_4,Asset_Type_3,2022-01-06,54
Source_3,Region_5,Asset_Type_3,2023-03-09,78
Source_5,Region_1,Asset_Type_3,2023-04-10,79
Source_10,Region_3,Asset_Type_3,2022-11-16,77
Source_5,Region_2,Asset_Type_2,2023-04-09,3
Source_2,Region_4,Asset_Type_3,2022-11-28,22
Source_8,Region_3,Asset_Type_2,2022-04-17,39
Source_1,Region_3,Asset_Type_2,2022-10-03,80
Source_1,Region_3,Asset_Type_3,2022-01-22,13
Source_8,Region_4,Asset_Type_2,2023-08-26,52
Source_10,Region_4,Asset_Type_3,2023-08-19,72
Source_4,Region_4,Asset_Type_2,2023-04-30,18
Source_1,Region_1,Asset_Type_3,2022-04-14,66
Source_7,Region_1,Asset_Type_3,2022-05-17,59
Source_9,Region_5,Asset_Type_2,2022-03-17,12
Source_9,Region_5,Asset_Type_1,2022-01-12,12
Source_8,Region_2,Asset_Type_2,2022-08-01,59
Source_8,Region_3,Asset_Type_2,2022-09-08,95
Source_9,Region_2,Asset_Type_1,2022-04-16,81
Source_6,Region_5,Asset_Type_3,2022-05-02,19
Source_4,Region_1,Asset_Type_1,2022-05-06,21
Source_5,Region_2,Asset_Type_1,2023-03-25,17
Source_10,Region_1,Asset_Type_1,2022-06-03,32
Source_4,Region_1,Asset_Type_2,2023-01-24,98
Source_3,Region_3,Asset_Type_1,2023-04-26,55
Source_2,Region_5,Asset_Type_3,2023-06-17,6
Source_9,Region_5,Asset_Type_1,2022-07-08,78
Source_5,Region_4,Asset_Type_1,2022-03-06,47
Source_2,Region_1,Asset_Type_2,2022-05-03,75
Source_2,Region_5,Asset_Type_2,2021-10-09,22
Source_1,Region_1,Asset_Type_3,2022-12-09,81
Source_9,Region_5,Asset_Type_1,2023-05-09,57
Source_2,Region_5,Asset_Type_1,2021-10-09,36
Source_3,Region_5,Asset_Type_1,2022-03-20,15
Source_8,Region_1,Asset_Type_1,2023-05-21,54
Source_9,Region_5,Asset_Type_1,2023-08-04,51
Source_4,Region_3,Asset_Type_2,2021-11-28,33
Source_6,Region_4,Asset_Type_3,2022-07-30,51
Source_4,Region_2,Asset_Type_2,2023-05-13,14
Source_1,Region_4,Asset_Type_1,2022-07-17,100
Source_2,Region_3,Asset_Type_1,2022-10-26,12
Source_6,Region_4,Asset_Type_1,2023-01-22,15
Source_5,Region_5,Asset_Type_3,2023-02-14,100
Source_3,Region_5,Asset_Type_2,2022-11-16,85
Source_2,Region_3,Asset_Type_1,2022-05-27,5
Source_6,Region_2,Asset_Type_1,2022-08-19,18
Source_3,Region_2,Asset_Type_1,2022-01-07,37
Source_1,Region_3,Asset_Type_3,2022-06-16,41
Source_10,Region_2,Asset_Type_1,2022-01-05,88
Source_6,Region_1,Asset_Type_1,2022-06-08,48
Source_10,Region_2,Asset_Type_2,2023-07-20,87
Source_2,Region_5,Asset_Type_1,2023-03-18,21
Source_5,Region_3,Asset_Type_1,2022-03-23,2
Source_7,Region_1,Asset_Type_2,2022-08-24,70
Source_6,Region_4,Asset_Type_2,2022-05-11,26
Source_8,Region_3,Asset_Type_2,2022-08-28,98
Source_3,Region_5,Asset_Type_1,2022-09-11,58
Source_5,Region_4,Asset_Type_3,2022-10-06,12
Source_1,Region_4,Asset_Type_2,2021-11-10,31
Source_5,Region_1,Asset_Type_2,2023-07-01,1
Source_5,Region_4,Asset_Type_1,2022-03-18,35
Source_10,Region_2,Asset_Type_3,2023-05-24,77
Source_4,Region_2,Asset_Type_1,2022-03-17,30
Source_4,Region_3,Asset_Type_1,2023-06-20,89
Source_1,Region_3,Asset_Type_1,2023-04-03,6
Source_4,Region_1,Asset_Type_3,2022-12-20,63
Source_10,Region_3,Asset_Type_1,2022-05-25,26
Source_5,Region_3,Asset_Type_3,2022-05-11,83
Source_4,Region_4,Asset_Type_1,2022-07-03,57
Source_2,Region_1,Asset_Type_2,2022-08-22,40
Source_2,Region_1,Asset_Type_3,2023-01-14,25
Source_8,Region_4,Asset_Type_1,2023-01-15,12
Source_1,Region_3,Asset_Type_1,2022-02-10,72
Source_1,Region_5,Asset_Type_2,2023-07-12,25
Source_3,Region_4,Asset_Type_2,2022-07-12,43
Source_8,Region_3,Asset_Type_2,2023-08-05,71
Source_8,Region_5,Asset_Type_2,2022-07-12,59
Source_1,Region_4,Asset_Type_3,2022-12-26,30
Source_2,Region_2,Asset_Type_1,2022-07-30,76
Source_2,Region_3,Asset_Type_1,2023-07-31,34
Source_3,Region_3,Asset_Type_2,2023-08-24,75
Source_3,Region_3,Asset_Type_1,2022-12-09,2
Source_5,Region_5,Asset_Type_3,2022-05-15,67
Source_8,Region_2,Asset_Type_3,2023-09-16,62
Source_4,Region_5,Asset_Type_3,2022-01-03,38
Source_7,Region_4,Asset_Type_3,2022-09-07,49
Source_6,Region_2,Asset_Type_1,2021-11-01,57
Source_7,Region_5,Asset_Type_2,2023-07-20,85
Source_8,Region_4,Asset_Type_3,2023-02-26,40
Source_4,Region_4,Asset_Type_2,2023-09-17,37
Source_8,Region_3,Asset_Type_2,2022-11-08,44
Source_3,Region_5,Asset_Type_1,2022-09-20,11
Source_2,Region_4,Asset_Type_2,2021-11-21,1
Source_1,Region_4,Asset_Type_3,2022-05-24,16
Source_7,Region_1,Asset_Type_1,2022-06-16,83
Source_3,Region_1,Asset_Type_1,2022-01-06,49
Source_1,Region_2,Asset_Type_2,2023-02-03,22
Source_7,Region_1,Asset_Type_2,2022-06-30,93
Source_10,Region_1,Asset_Type_1,2023-01-24,38
Source_5,Region_2,Asset_Type_3,2022-02-14,18
Source_1,Region_2,Asset_Type_1,2022-11-07,36
Source_7,Region_1,Asset_Type_1,2023-04-08,36
Source_10,Region_1,Asset_Type_2,2023-05-08,86
Source_7,Region_1,Asset_Type_3,2022-03-20,2
Source_2,Region_3,Asset_Type_3,2021-12-30,47
Source_7,Region_1,Asset_Type_3,2022-12-22,26
Source_3,Region_3,Asset_Type_1,2023-05-14,5
Source_2,Region_5,Asset_Type_2,2023-07-26,76
Source_8,Region_3,Asset_Type_2,2023-06-08,85
Source_8,Region_5,Asset_Type_1,2022-05-31,31
Source_8,Region_2,Asset_Type_2,2023-06-15,44
Source_5,Region_1,Asset_Type_2,2023-02-08,95
Source_10,Region_5,Asset_Type_2,2023-01-03,51
Source_5,Region_5,Asset_Type_2,2023-01-22,89
Source_2,Region_5,Asset_Type_1,2023-07-07,50
Source_7,Region_1,Asset_Type_3,2022-04-21,17
Source_5,Region_3,Asset_Type_1,2022-07-27,8
Source_6,Region_1,Asset_Type_1,2023-03-15,99
Source_10,Region_1,Asset_Type_1,2023-07-23,71
Source_3,Region_4,Asset_Type_2,2022-02-07,59
Source_8,Region_1,Asset_Type_2,2022-01-22,63
Source_6,Region_5,Asset_Type_2,2023-06-06,29
Source_7,Region_1,Asset_Type_2,2023-01-23,31
Source_8,Region_4,Asset_Type_1,2023-01-12,77
Source_7,Region_2,Asset_Type_3,2022-07-16,32
Source_5,Region_3,Asset_Type_2,2023-02-12,27
Source_5,Region_5,Asset_Type_2,2023-05-27,78
Source_4,Region_1,Asset_Type_2,2023-06-02,26
Source_4,Region_3,Asset_Type_3,2023-09-08,74
Source_2,Region_1,Asset_Type_3,2023-06-22,52
Source_4,Region_4,Asset_Type_1,2023-05-23,71
Source_8,Region_4,Asset_Type_3,2022-03-01,31
Source_10,Region_1,Asset_Type_1,2022-04-17,34
Source_4,Region_4,Asset_Type_1,2022-04-28,81
Source_2,Region_5,Asset_Type_3,2022-06-08,74
Source_7,Region_1,Asset_Type_2,2022-12-20,24
Source_8,Region_5,Asset_Type_1,2023-07-02,25
Source_7,Region_2,Asset_Type_3,2023-06-17,85
Source_5,Region_4,Asset_Type_1,2023-06-26,50
Source_10,Region_3,Asset_Type_1,2021-10-08,70
Source_9,Region_1,Asset_Type_1,2022-10-10,84
Source_6,Region_3,Asset_Type_1,2022-06-30,100
Source_7,Region_1,Asset_Type_1,2021-10-17,65
Source_1,Region_3,Asset_Type_1,2022-07-12,87
Source_5,Region_3,Asset_Type_3,2022-07-27,93
Source_4,Region_5,Asset_Type_2,2021-12-22,85
Source_8,Region_5,Asset_Type_1,2023-06-17,89
Source_8,Region_2,Asset_Type_2,2022-01-18,25
Source_1,Region_5,Asset_Type_2,2023-06-22,73
Source_2,Region_3,Asset_Type_1,2022-11-20,1
Source_7,Region_2,Asset_Type_3,2023-05-31,57
Source_3,Region_4,Asset_Type_2,2023-02-24,9
Source_9,Region_2,Asset_Type_3,2022-06-19,18
Source_8,Region_5,Asset_Type_1,2023-03-28,35
Source_3,Region_3,Asset_Type_3,2022-03-25,83
Source_8,Region_4,Asset_Type_2,2021-10-31,71
Source_2,Region_5,Asset_Type_2,2023-06-16,90
Source_8,Region_5,Asset_Type_3,2023-06-15,30
Source_10,Region_1,Asset_Type_3,2022-12-19,52
Source_10,Region_3,Asset_Type_2,2023-02-01,31
Source_2,Region_5,Asset_Type_2,2022-08-17,26
Source_7,Region_5,Asset_Type_2,2022-11-08,58
Source_6,Region_2,Asset_Type_2,2022-04-23,16
Source_5,Region_1,Asset_Type_3,2022-12-03,21
Source_6,Region_1,Asset_Type_2,2021-12-07,50
Source_10,Region_1,Asset_Type_3,2022-03-24,11
Source_10,Region_1,Asset_Type_1,2022-06-28,72
Source_4,Region_1,Asset_Type_3,2022-12-09,3
Source_1,Region_5,Asset_Type_3,2023-05-20,96
Source_10,Region_3,Asset_Type_3,2022-05-02,4
Source_6,Region_1,Asset_Type_2,2022-04-04,80
Source_5,Region_2,Asset_Type_1,2022-04-29,91
Source_1,Region_5,Asset_Type_2,2023-07-29,17
Source_3,Region_4,Asset_Type_2,2023-01-04,29
Source_6,Region_2,Asset_Type_2,2023-07-02,27
Source_5,Region_4,Asset_Type_2,2023-05-10,52
Source_8,Region_3,Asset_Type_2,2023-03-20,61
Source_4,Region_1,Asset_Type_3,2022-03-13,40
Source_10,Region_3,Asset_Type_1,2022-07-11,74
Source_9,Region_2,Asset_Type_1,2023-03-09,83
Source_3,Region_2,Asset_Type_3,2022-10-09,14
Source_10,Region_3,Asset_Type_1,2022-07-08,24
Source_10,Region_1,Asset_Type_2,2022-12-05,32
Source_7,Region_5,Asset_Type_2,2022-08-11,54
Source_7,Region_1,Asset_Type_2,2022-06-22,30
Source_6,Region_5,Asset_Type_1,2022-02-20,1
Source_9,Region_1,Asset_Type_3,2022-09-03,74
Source_10,Region_2,Asset_Type_3,2022-01-10,27
Source_2,Region_3,Asset_Type_1,2023-06-15,18
Source_10,Region_5,Asset_Type_1,2023-05-29,25
Source_7,Region_5,Asset_Type_2,2022-05-16,84
Source_10,Region_5,Asset_Type_2,2023-08-05,60
Source_10,Region_1,Asset_Type_2,2022-10-16,97
Source_9,Region_5,Asset_Type_3,2022-01-08,39
Source_9,Region_2,Asset_Type_1,2022-08-02,27
Source_2,Region_3,Asset_Type_1,2023-02-18,78
Source_6,Region_4,Asset_Type_2,2021-10-10,17
Source_2,Region_5,Asset_Type_2,2021-12-26,37
Source_10,Region_3,Asset_Type_1,2023-01-07,52
Source_4,Region_2,Asset_Type_2,2022-06-08,45
Source_1,Region_2,Asset_Type_1,2023-02-27,27
Source_2,Region_5,Asset_Type_3,2022-09-22,42
Source_9,Region_5,Asset_Type_2,2022-04-24,87
Source_9,Region_4,Asset_Type_1,2022-09-09,89
Source_5,Region_3,Asset_Type_1,2023-07-12,76
Source_5,Region_4,Asset_Type_3,2022-06-04,48
Source_8,Region_5,Asset_Type_2,2022-07-21,88
Source_1,Region_3,Asset_Type_1,2023-07-19,61
Source_3,Region_3,Asset_Type_1,2023-07-12,10
Source_3,Region_3,Asset_Type_1,2022-02-23,45
Source_5,Region_5,Asset_Type_3,2022-02-01,81
Source_1,Region_1,Asset_Type_3,2023-09-24,73
Source_3,Region_4,Asset_Type_3,2022-07-09,49
Source_2,Region_1,Asset_Type_1,2023-01-25,46
Source_10,Region_5,Asset_Type_2,2022-12-09,39
Source_3,Region_5,Asset_Type_2,2023-05-05,16
Source_3,Region_3,Asset_Type_1,2023-09-21,96
Source_1,Region_3,Asset_Type_3,2021-11-18,46
Source_4,Region_4,Asset_Type_3,2022-06-19,8
Source_4,Region_2,Asset_Type_2,2023-06-24,99
Source_6,Region_2,Asset_Type_3,2022-11-23,15
Source_9,Region_5,Asset_Type_3,2022-09-24,33
Source_10,Region_5,Asset_Type_3,2022-11-21,25
Source_3,Region_5,Asset_Type_3,2023-08-27,19
Source_8,Region_4,Asset_Type_3,2022-01-05,8
Source_5,Region_3,Asset_Type_3,2021-10-31,82
Source_3,Region_1,Asset_Type_3,2023-01-13,44
Source_2,Region_2,Asset_Type_2,2023-07-19,98
Source_2,Region_2,Asset_Type_3,2022-04-28,34
Source_10,Region_2,Asset_Type_2,2021-10-05,83
Source_7,Region_3,Asset_Type_1,2022-03-04,10
Source_10,Region_5,Asset_Type_3,2022-08-22,66
Source_7,Region_1,Asset_Type_2,2023-02-04,4
Source_1,Region_5,Asset_Type_3,2022-09-22,4
Source_6,Region_2,Asset_Type_3,2021-11-08,17
Source_8,Region_3,Asset_Type_1,2022-04-30,37
Source_7,Region_5,Asset_Type_3,2023-05-23,90
Source_6,Region_4,Asset_Type_2,2023-08-26,35
Source_8,Region_3,Asset_Type_2,2023-09-05,93
Source_9,Region_4,Asset_Type_2,2023-07-20,73
Source_1,Region_3,Asset_Type_2,2023-05-21,22
Source_4,Region_2,Asset_Type_1,2022-09-10,80
Source_4,Region_2,Asset_Type_2,2023-03-30,88
Source_1,Region_4,Asset_Type_1,2022-11-10,88
Source_9,Region_3,Asset_Type_3,2022-01-16,50
Source_6,Region_5,Asset_Type_1,2022-11-21,57
Source_5,Region_1,Asset_Type_1,2022-07-05,67
Source_1,Region_4,Asset_Type_2,2022-05-19,61
Source_3,Region_1,Asset_Type_1,2022-04-10,70
Source_8,Region_2,Asset_Type_3,2022-07-31,93
Source_2,Region_2,Asset_Type_2,2021-12-02,74
Source_5,Region_4,Asset_Type_1,2022-11-27,100
Source_2,Region_2,Asset_Type_2,2022-06-28,36
Source_1,Region_3,Asset_Type_2,2023-08-07,43
Source_1,Region_1,Asset_Type_2,2022-11-26,82
Source_3,Region_5,Asset_Type_2,2022-05-16,97
Source_7,Region_3,Asset_Type_3,2022-03-27,98
Source_1,Region_5,Asset_Type_3,2023-08-21,66
Source_2,Region_1,Asset_Type_1,2022-04-11,69
Source_1,Region_5,Asset_Type_1,2023-03-11,100
Source_3,Region_5,Asset_Type_2,2022-07-12,82
Source_5,Region_3,Asset_Type_2,2022-06-05,29
Source_2,Region_5,Asset_Type_1,2022-05-16,59
Source_8,Region_4,Asset_Type_3,2023-05-18,20
Source_10,Region_2,Asset_Type_3,2021-11-17,37
Source_3,Region_5,Asset_Type_3,2023-05-01,59
Source_7,Region_2,Asset_Type_2,2022-12-01,4
Source_9,Region_4,Asset_Type_1,2022-12-06,26
Source_2,Region_3,Asset_Type_1,2022-10-27,65
Source_6,Region_1,Asset_Type_1,2021-12-31,41
Source_5,Region_1,Asset_Type_1,2023-07-09,45
Source_10,Region_2,Asset_Type_3,2023-08-30,96
Source_6,Region_5,Asset_Type_2,2022-03-08,45
Source_10,Region_4,Asset_Type_1,2022-09-12,92
Source_8,Region_3,Asset_Type_3,2022-12-16,90
Source_1,Region_5,Asset_Type_1,2023-09-23,24
Source_1,Region_5,Asset_Type_1,2022-04-09,76
Source_5,Region_2,Asset_Type_1,2022-05-25,62
Source_8,Region_5,Asset_Type_1,2021-11-09,54
Source_2,Region_4,Asset_Type_3,2022-01-30,49
Source_7,Region_2,Asset_Type_3,2023-01-18,80
Source_5,Region_3,Asset_Type_1,2022-08-10,87
Source_2,Region_5,Asset_Type_1,2021-12-26,83
Source_10,Region_4,Asset_Type_3,2022-02-27,52
Source_8,Region_2,Asset_Type_1,2023-05-24,15
Source_2,Region_5,Asset_Type_2,2022-04-24,16
Source_4,Region_5,Asset_Type_2,2023-07-03,85
Source_4,Region_1,Asset_Type_2,2023-07-14,90
Source_10,Region_5,Asset_Type_1,2022-01-19,40
Source_6,Region_2,Asset_Type_1,2023-04-14,7
Source_10,Region_1,Asset_Type_1,2022-08-27,17
Source_2,Region_5,Asset_Type_2,2022-01-16,94
Source_4,Region_3,Asset_Type_1,2022-01-08,83
Source_5,Region_4,Asset_Type_1,2022-08-29,62
Source_9,Region_1,Asset_Type_2,2023-04-23,99
Source_10,Region_1,Asset_Type_2,2022-10-10,38
Source_2,Region_3,Asset_Type_1,2021-12-04,42
Source_5,Region_2,Asset_Type_3,2022-09-17,34
Source_5,Region_5,Asset_Type_1,2021-12-12,89
Source_10,Region_3,Asset_Type_3,2022-02-13,6
Source_10,Region_3,Asset_Type_2,2022-03-19,27
Source_3,Region_5,Asset_Type_1,2022-05-20,42
Source_9,Region_3,Asset_Type_2,2023-07-12,85
Source_4,Region_3,Asset_Type_1,2022-02-09,10
Source_9,Region_4,Asset_Type_3,2022-07-02,17
Source_2,Region_4,Asset_Type_3,2022-01-10,75
Source_4,Region_3,Asset_Type_3,2022-05-21,58
Source_9,Region_2,Asset_Type_2,2022-07-18,81
Source_5,Region_2,Asset_Type_2,2022-11-14,31
Source_5,Region_5,Asset_Type_2,2023-02-05,79
Source_10,Region_3,Asset_Type_3,2023-03-05,76
Source_5,Region_5,Asset_Type_1,2021-12-05,80
Source_7,Region_4,Asset_Type_1,2021-10-18,21
Source_4,Region_3,Asset_Type_2,2023-03-13,31
Source_5,Region_4,Asset_Type_3,2023-06-01,69
Source_5,Region_2,Asset_Type_1,2023-01-20,40
Source_9,Region_3,Asset_Type_3,2023-03-28,60
Source_1,Region_2,Asset_Type_1,2023-06-08,45
Source_3,Region_1,Asset_Type_1,2022-11-09,4
Source_10,Region_3,Asset_Type_1,2023-08-26,68
Source_5,Region_1,Asset_Type_1,2021-12-18,99
Source_6,Region_1,Asset_Type_1,2022-03-21,60
Source_10,Region_5,Asset_Type_1,2022-04-19,11
Source_10,Region_5,Asset_Type_3,2023-06-20,68
Source_1,Region_3,Asset_Type_3,2021-12-01,22
Source_6,Region_2,Asset_Type_3,2021-11-29,43
Source_1,Region_1,Asset_Type_3,2022-03-12,67
Source_3,Region_2,Asset_Type_2,2023-06-24,57
Source_10,Region_5,Asset_Type_3,2023-07-30,36
Source_5,Region_3,Asset_Type_1,2023-02-18,70
Source_1,Region_5,Asset_Type_3,2022-04-06,97
Source_7,Region_3,Asset_Type_2,2023-06-27,43
Source_3,Region_3,Asset_Type_3,2022-03-18,68
Source_9,Region_5,Asset_Type_1,2023-03-15,33
Source_1,Region_3,Asset_Type_3,2022-10-12,64
Source_8,Region_4,Asset_Type_3,2022-11-26,49
Source_9,Region_5,Asset_Type_3,2023-04-08,33
Source_8,Region_5,Asset_Type_3,2023-04-09,19
Source_7,Region_4,Asset_Type_3,2023-08-12,33
Source_5,Region_3,Asset_Type_1,2023-09-20,17
Source_5,Region_4,Asset_Type_1,2022-05-09,59
Source_2,Region_4,Asset_Type_3,2023-09-23,58
Source_9,Region_2,Asset_Type_1,2022-10-26,21
Source_1,Region_4,Asset_Type_1,2023-01-29,88
Source_4,Region_2,Asset_Type_3,2022-11-19,29
Source_5,Region_5,Asset_Type_2,2022-10-27,68
Source_5,Region_4,Asset_Type_1,2022-03-02,76
Source_5,Region_5,Asset_Type_2,2022-01-30,15
Source_7,Region_5,Asset_Type_3,2023-07-22,44
